Index,Arguments,Edge Probability,Edges,Type,Set length
40,1,0.1,0,preferred,1
40,1,0.1,0,stable,1
41,1,0.1,0,admissible,0
41,1,0.1,0,admissible,1
41,1,0.1,0,complete,1
41,1,0.1,0,preferred,1
41,1,0.1,0,stable,1
42,1,0.1,0,admissible,0
42,1,0.1,0,admissible,1
42,1,0.1,0,complete,1
42,1,0.1,0,preferred,1
42,1,0.1,0,stable,1
43,1,0.1,0,admissible,0
43,1,0.1,0,admissible,1
43,1,0.1,0,complete,1
43,1,0.1,0,preferred,1
43,1,0.1,0,stable,1
44,1,0.1,0,admissible,0
44,1,0.1,0,admissible,1
44,1,0.1,0,complete,1
44,1,0.1,0,preferred,1
44,1,0.1,0,stable,1
45,1,0.1,0,admissible,0
45,1,0.1,0,admissible,1
45,1,0.1,0,complete,1
45,1,0.1,0,preferred,1
45,1,0.1,0,stable,1
46,1,0.1,0,admissible,0
46,1,0.1,0,admissible,1
46,1,0.1,0,complete,1
46,1,0.1,0,preferred,1
46,1,0.1,0,stable,1
47,1,0.1,0,admissible,0
47,1,0.1,0,admissible,1
47,1,0.1,0,complete,1
47,1,0.1,0,preferred,1
47,1,0.1,0,stable,1
48,1,0.1,0,admissible,0
48,1,0.1,0,admissible,1
48,1,0.1,0,complete,1
48,1,0.1,0,preferred,1
48,1,0.1,0,stable,1
49,1,0.1,0,admissible,0
49,1,0.1,0,admissible,1
49,1,0.1,0,complete,1
49,1,0.1,0,preferred,1
49,1,0.1,0,stable,1
50,1,0.1,0,admissible,0
50,1,0.1,0,admissible,1
50,1,0.1,0,complete,1
50,1,0.1,0,preferred,1
50,1,0.1,0,stable,1
51,1,0.1,0,admissible,0
51,1,0.1,0,admissible,1
51,1,0.1,0,complete,1
51,1,0.1,0,preferred,1
51,1,0.1,0,stable,1
52,1,0.1,0,admissible,0
52,1,0.1,0,admissible,1
52,1,0.1,0,complete,1
52,1,0.1,0,preferred,1
52,1,0.1,0,stable,1
53,1,0.1,0,admissible,0
53,1,0.1,0,admissible,1
53,1,0.1,0,complete,1
53,1,0.1,0,preferred,1
53,1,0.1,0,stable,1
54,1,0.1,0,admissible,0
54,1,0.1,0,admissible,1
54,1,0.1,0,complete,1
54,1,0.1,0,preferred,1
54,1,0.1,0,stable,1
55,1,0.1,0,admissible,0
55,1,0.1,0,admissible,1
55,1,0.1,0,complete,1
55,1,0.1,0,preferred,1
55,1,0.1,0,stable,1
56,1,0.1,0,admissible,0
56,1,0.1,0,admissible,1
56,1,0.1,0,complete,1
56,1,0.1,0,preferred,1
56,1,0.1,0,stable,1
57,1,0.1,0,admissible,0
57,1,0.1,0,admissible,1
57,1,0.1,0,complete,1
57,1,0.1,0,preferred,1
57,1,0.1,0,stable,1
58,1,0.1,0,admissible,0
58,1,0.1,0,admissible,1
58,1,0.1,0,complete,1
58,1,0.1,0,preferred,1
58,1,0.1,0,stable,1
59,1,0.1,0,admissible,0
59,1,0.1,0,admissible,1
59,1,0.1,0,complete,1
59,1,0.1,0,preferred,1
59,1,0.1,0,stable,1
60,1,0.1,0,admissible,0
60,1,0.1,0,admissible,1
60,1,0.1,0,complete,1
60,1,0.1,0,preferred,1
60,1,0.1,0,stable,1
61,1,0.1,0,admissible,0
61,1,0.1,0,admissible,1
61,1,0.1,0,complete,1
61,1,0.1,0,preferred,1
61,1,0.1,0,stable,1
62,1,0.1,0,admissible,0
62,1,0.1,0,admissible,1
62,1,0.1,0,complete,1
62,1,0.1,0,preferred,1
62,1,0.1,0,stable,1
63,1,0.1,0,admissible,0
63,1,0.1,0,admissible,1
63,1,0.1,0,complete,1
63,1,0.1,0,preferred,1
63,1,0.1,0,stable,1
64,1,0.1,0,admissible,0
64,1,0.1,0,admissible,1
64,1,0.1,0,complete,1
64,1,0.1,0,preferred,1
64,1,0.1,0,stable,1
65,1,0.1,0,admissible,0
65,1,0.1,0,admissible,1
65,1,0.1,0,complete,1
65,1,0.1,0,preferred,1
65,1,0.1,0,stable,1
66,1,0.1,0,admissible,0
66,1,0.1,0,admissible,1
66,1,0.1,0,complete,1
66,1,0.1,0,preferred,1
66,1,0.1,0,stable,1
67,1,0.1,0,admissible,0
67,1,0.1,0,admissible,1
67,1,0.1,0,complete,1
67,1,0.1,0,preferred,1
67,1,0.1,0,stable,1
68,1,0.1,0,admissible,0
68,1,0.1,0,admissible,1
68,1,0.1,0,complete,1
68,1,0.1,0,preferred,1
68,1,0.1,0,stable,1
69,1,0.1,0,admissible,0
69,1,0.1,0,admissible,1
69,1,0.1,0,complete,1
69,1,0.1,0,preferred,1
69,1,0.1,0,stable,1
70,1,0.1,0,admissible,0
70,1,0.1,0,admissible,1
70,1,0.1,0,complete,1
70,1,0.1,0,preferred,1
70,1,0.1,0,stable,1
71,1,0.1,0,admissible,0
71,1,0.1,0,admissible,1
71,1,0.1,0,complete,1
71,1,0.1,0,preferred,1
71,1,0.1,0,stable,1
72,1,0.1,0,admissible,0
72,1,0.1,0,admissible,1
72,1,0.1,0,complete,1
72,1,0.1,0,preferred,1
72,1,0.1,0,stable,1
73,1,0.1,0,admissible,0
73,1,0.1,0,admissible,1
73,1,0.1,0,complete,1
73,1,0.1,0,preferred,1
73,1,0.1,0,stable,1
74,1,0.1,0,admissible,0
74,1,0.1,0,admissible,1
74,1,0.1,0,complete,1
74,1,0.1,0,preferred,1
74,1,0.1,0,stable,1
75,1,0.1,0,admissible,0
75,1,0.1,0,admissible,1
75,1,0.1,0,complete,1
